country,continent,year,tot_health_sp_pp,tot_health_sp_per_gdp,priv_share_health_sp,pocket_share_health_sp,gov_share_health_sp,gov_health_sp_pp,gov_prop_health_spending,pop,pop_dens,life_exp
Afghanistan,Asia,1995,NA,NA,NA,NA,NA,NA,NA,18100000,26.2,53.3
Albania,Europe,1995,27.9,2.56,50,50,50,13.9,5.26,3110000,113,74.6
Algeria,Africa,1995,62.1,4.17,24.6,23.9,75.4,46.8,10,28800000,12.1,72.9
Andorra,NA,1995,1390,7.64,35.6,26.7,64.4,897,23.6,63900,136,79.7
Angola,Africa,1995,15.6,3.79,13.2,13.2,86.8,13.5,5,13900000,11.4,49.5
Antigua and Barbuda,NA,1995,351,4.88,33.5,29.2,66.5,233,12.9,68700,167,74.1
Argentina,Americas,1995,615,8.31,40.2,28,59.8,368,15.3,34800000,12.8,73.3
Armenia,NA,1995,25.7,6.45,69,65.9,31,7.97,8.3,3220000,113,69.9
Australia,Oceania,1995,1570,7.22,34.2,16.1,65.8,1030,13.1,18000000,2.35,78.2
Austria,Europe,1995,2860,9.52,26.1,15.2,74,2110,12.5,7990000,97,76.8
Azerbaijan,NA,1995,18.2,5.86,76.3,65.6,23.8,4.33,6.93,7780000,94.1,65
Bahamas,NA,1995,840,6.85,60.1,24.1,39.9,335,14.2,280000,28,70.8
Bahrain,Asia,1995,482,4.58,30.4,21.6,69.6,336,11.3,564000,742,71
Barbados,NA,1995,450,6.34,32,NA,68,306,13.5,266000,616,74
Belarus,NA,1995,69.1,6.74,28.9,18.6,71.1,49.2,11.5,10100000,50,68.5
Belgium,Europe,1995,2140,7.61,23.2,19.6,76.8,1640,11.2,10200000,336,76.9
Belize,NA,1995,119,4.23,37.8,NA,62.2,74.1,10.5,207000,9.07,72
Benin,Africa,1995,18,4.69,55,54.9,45,8.11,10.4,5910000,52.4,56.7
Bhutan,NA,1995,18.8,3.41,31.6,31.6,68.4,12.9,5.94,535000,13.5,63.1
Bolivia,Americas,1995,40.2,4.47,36.2,NA,63.8,25.6,10.6,7620000,6.98,63.6
Bosnia and Herzegovina,Europe,1995,63.8,10.6,52.9,52.9,47.1,30,9.5,3830000,75.4,66.1
Botswana,Africa,1995,125,4.17,47.6,17.8,52.4,65.3,5.53,1470000,2.77,59.9
Brazil,Americas,1995,316,6.65,57,NA,43,136,8.36,162000000,19.4,69.3
Brunei,NA,1995,482,2.67,22.1,21.9,77.8,375,4.21,297000,56.4,72.3
Bulgaria,Europe,1995,81.8,5.24,26,NA,74,60.5,8.52,8380000,77.2,71
Burkina Faso,Africa,1995,10.7,4.3,61.3,57.7,38.7,4.15,9.05,10100000,36.9,50.5
